"GEO_ID","NAME","B27001I_001E","B27001I_001EA","B27001I_001M","B27001I_001MA","B27001I_002E","B27001I_002M","B27001I_002MA","B27001I_002EA","B27001I_003E","B27001I_003EA","B27001I_003M","B27001I_003MA","B27001I_004E","B27001I_004EA","B27001I_004M","B27001I_004MA","B27001I_005E","B27001I_005EA","B27001I_005M","B27001I_005MA","B27001I_006E","B27001I_006EA","B27001I_006M","B27001I_006MA","B27001I_007E","B27001I_007EA","B27001I_007M","B27001I_007MA","B27001I_008E","B27001I_008EA","B27001I_008M","B27001I_008MA","B27001I_009E","B27001I_009EA","B27001I_009M","B27001I_009MA","B27001I_010E","B27001I_010EA","B27001I_010M","B27001I_010MA","B27001I_011E","B27001I_011EA","B27001I_011M","B27001I_011MA","B27001I_012E","B27001I_012EA","B27001I_012M","B27001I_012MA","B27001I_013E","B27001I_013M","B27001I_013MA","B27001I_013EA","B27001I_014E","B27001I_014EA","B27001I_014M","B27001I_014MA","B27001I_015E","B27001I_015EA","B27001I_015M","B27001I_015MA","B27001I_016E","B27001I_016EA","B27001I_016M","B27001I_016MA","B27001I_017E","B27001I_017EA","B27001I_017M","B27001I_017MA","B27001I_018E","B27001I_018EA","B27001I_018M","B27001I_018MA","B27001I_019E","B27001I_019EA","B27001I_019M","B27001I_019MA","B27001I_020E","B27001I_020EA","B27001I_020M","B27001I_020MA","B27001I_021E","B27001I_021EA","B27001I_021M","B27001I_021MA","B27001I_022E","B27001I_022EA","B27001I_022M","B27001I_022MA","B27001I_023E","B27001I_023EA","B27001I_023M","B27001I_023MA","B27001I_024E","B27001I_024M","B27001I_024MA","B27001I_024EA","B27001I_025E","B27001I_025EA","B27001I_025M","B27001I_025MA","B27001I_026E","B27001I_026EA","B27001I_026M","B27001I_026MA","B27001I_027E","B27001I_027EA","B27001I_027M","B27001I_027MA","B27001I_028E","B27001I_028EA","B27001I_028M","B27001I_028MA",
"0500000US48339","Montgomery County, Texas","152739","null","88","null","16338","979","null","null","14829","null","1357","null","1509","null","1127","null","40137","null","1236","null","34742","null","2507","null","5395","null","2024","null","16278","null","1159","null","10524","null","1922","null","5754","null","1799","null","20277","null","1088","null","13260","null","1795","null","7017","1524","null","null","22668","null","2","null","12727","null","3074","null","9941","null","3074","null","18862","null","5","null","12566","null","1697","null","6296","null","1697","null","10929","null","2","null","9262","null","852","null","1667","null","853","null","5345","null","378","null","5057","566","null","null","288","null","450","null","1905","null","378","null","1808","null","433","null","97","null","192","null",
"0500000US48347","Nacogdoches County, Texas","12886","null","291","null","1563","953","null","null","1563","null","953","null","0","null","234","null","4113","null","1060","null","3706","null","1200","null","407","null","509","null","1884","null","794","null","1226","null","625","null","658","null","576","null","1404","null","805","null","670","null","382","null","734","702","null","null","1170","null","541","null","447","null","339","null","723","null","606","null","1367","null","916","null","1219","null","919","null","148","null","237","null","1106","null","341","null","1027","null","343","null","79","null","135","null","240","null","313","null","240","313","null","null","0","null","234","null","39","null","80","null","39","null","80","null","0","null","234","null",
"0500000US48355","Nueces County, Texas","232097","null","606","null","19863","1227","null","null","17548","null","1732","null","2315","null","969","null","47800","null","1373","null","43095","null","2186","null","4705","null","1605","null","25821","null","1658","null","15928","null","1791","null","9893","null","1910","null","29235","null","1374","null","19946","null","2318","null","9289","2258","null","null","31416","null","75","null","20972","null","1991","null","10444","null","1998","null","26278","null","194","null","20964","null","1414","null","5314","null","1380","null","24164","null","210","null","19141","null","1379","null","5023","null","1330","null","16688","null","2","null","16444","290","null","null","244","null","291","null","10832","null","204","null","10521","null","413","null","311","null","373","null",
"0500000US48361","Orange County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US48367","Parker County, Texas","18187","null","521","null","1694","190","null","null","1362","null","288","null","332","null","266","null","5139","null","597","null","4677","null","285","null","462","null","590","null","2809","null","906","null","1627","null","991","null","1182","null","788","null","1583","null","739","null","1073","null","751","null","510","549","null","null","2271","null","675","null","1367","null","622","null","904","null","606","null","2291","null","860","null","1525","null","828","null","766","null","882","null","1235","null","578","null","662","null","349","null","573","null","367","null","786","null","417","null","786","417","null","null","0","null","234","null","379","null","327","null","379","null","327","null","0","null","234","null",
"0500000US48375","Potter County, Texas","43903","null","640","null","4445","275","null","null","3495","null","673","null","950","null","565","null","11503","null","381","null","8184","null","1420","null","3319","null","1377","null","5151","null","583","null","2865","null","807","null","2286","null","695","null","6658","null","381","null","3684","null","1003","null","2974","1099","null","null","5507","null","233","null","2677","null","931","null","2830","null","887","null","4595","null","168","null","2993","null","625","null","1602","null","627","null","3287","null","205","null","2454","null","412","null","833","null","325","null","1729","null","102","null","1729","102","null","null","0","null","234","null","1028","null","4","null","1028","null","4","null","0","null","234","null",
"0500000US48381","Randall County, Texas","31742","null","42","null","3068","419","null","null","2995","null","432","null","73","null","90","null","7564","null","552","null","7539","null","530","null","25","null","49","null","5079","null","625","null","3505","null","793","null","1574","null","741","null","4492","null","502","null","4224","null","556","null","268","266","null","null","5100","null","726","null","4772","null","835","null","328","null","215","null","2879","null","726","null","2321","null","988","null","558","null","545","null","1352","null","637","null","1302","null","644","null","50","null","86","null","1362","null","749","null","1362","749","null","null","0","null","234","null","846","null","744","null","846","null","744","null","0","null","234","null",
"0500000US48397","Rockwall County, Texas","19503","null","61","null","1978","284","null","null","1905","null","342","null","73","null","145","null","4924","null","544","null","4612","null","604","null","312","null","317","null","2323","null","993","null","1649","null","967","null","674","null","806","null","2300","null","987","null","1506","null","963","null","794","617","null","null","3530","null","1051","null","2545","null","737","null","985","null","838","null","2209","null","1045","null","1457","null","873","null","752","null","627","null","1754","null","402","null","1464","null","428","null","290","null","300","null","431","null","373","null","431","373","null","null","0","null","234","null","54","null","84","null","54","null","84","null","0","null","234","null",
"0500000US48409","San Patricio County, Texas","38904","null","144","null","3975","459","null","null","3811","null","455","null","164","null","231","null","8615","null","809","null","7892","null","981","null","723","null","552","null","3499","null","830","null","1797","null","926","null","1702","null","710","null","5115","null","448","null","4050","null","846","null","1065","754","null","null","5278","null","78","null","4632","null","423","null","646","null","412","null","4393","null","4","null","3538","null","441","null","855","null","441","null","3661","null","5","null","2348","null","524","null","1313","null","524","null","3383","null","438","null","3383","438","null","null","0","null","234","null","985","null","440","null","985","null","440","null","0","null","234","null",
"0500000US48423","Smith County, Texas","46466","null","264","null","6103","671","null","null","5750","null","754","null","353","null","340","null","11634","null","700","null","8711","null","1660","null","2923","null","1740","null","6077","null","752","null","4521","null","1105","null","1556","null","735","null","5955","null","1076","null","2813","null","1184","null","3142","1162","null","null","7333","null","1006","null","2486","null","975","null","4847","null","1454","null","4228","null","747","null","3166","null","942","null","1062","null","752","null","3435","null","902","null","1589","null","756","null","1846","null","1167","null","758","null","514","null","758","514","null","null","0","null","234","null","943","null","781","null","943","null","781","null","0","null","234","null",
"0500000US48439","Tarrant County, Texas","615725","null","1398","null","67892","1789","null","null","60228","null","2547","null","7664","null","2249","null","157030","null","2196","null","122036","null","5574","null","34994","null","5155","null","71657","null","2794","null","41104","null","3363","null","30553","null","3216","null","85142","null","2127","null","53237","null","3352","null","31905","3622","null","null","87601","null","398","null","51264","null","3995","null","36337","null","3949","null","71038","null","344","null","43103","null","3627","null","27935","null","3654","null","44270","null","241","null","33180","null","2115","null","11090","null","2074","null","20510","null","193","null","18949","839","null","null","1561","null","810","null","10585","null","244","null","10101","null","645","null","484","null","591","null",
"0500000US48441","Taylor County, Texas","33469","null","583","null","3959","388","null","null","3146","null","730","null","813","null","561","null","8272","null","594","null","6388","null","944","null","1884","null","1002","null","4145","null","646","null","2758","null","833","null","1387","null","670","null","4598","null","495","null","3063","null","711","null","1535","641","null","null","5082","null","438","null","3451","null","736","null","1631","null","629","null","2355","null","429","null","1931","null","494","null","424","null","251","null","2555","null","3","null","1676","null","505","null","879","null","505","null","1694","null","443","null","1694","443","null","null","0","null","234","null","809","null","451","null","809","null","451","null","0","null","234","null",
"0500000US48451","Tom Green County, Texas","47597","null","590","null","4848","641","null","null","4265","null","840","null","583","null","503","null","10485","null","935","null","10017","null","915","null","468","null","369","null","5593","null","1504","null","4123","null","1072","null","1470","null","1009","null","5746","null","1431","null","4918","null","1456","null","828","493","null","null","7280","null","893","null","6489","null","1086","null","791","null","599","null","4780","null","825","null","4025","null","929","null","755","null","369","null","4449","null","234","null","2701","null","1036","null","1748","null","1036","null","2685","null","669","null","2685","669","null","null","0","null","234","null","1731","null","640","null","1731","null","640","null","0","null","234","null",
"0500000US48453","Travis County, Texas","426071","null","1163","null","40778","1476","null","null","35673","null","2500","null","5105","null","2076","null","89661","null","1847","null","68156","null","4529","null","21505","null","4635","null","48633","null","2535","null","32746","null","3190","null","15887","null","3266","null","73571","null","2340","null","47933","null","3776","null","25638","3307","null","null","68142","null","366","null","46198","null","3653","null","21944","null","3681","null","49426","null","211","null","35514","null","2988","null","13912","null","2996","null","32632","null","99","null","25579","null","2249","null","7053","null","2280","null","15598","null","59","null","15473","160","null","null","125","null","149","null","7630","null","143","null","7630","null","143","null","0","null","234","null",
