"GEO_ID","NAME","B27001H_001E","B27001H_001EA","B27001H_001M","B27001H_001MA","B27001H_002E","B27001H_002EA","B27001H_002M","B27001H_002MA","B27001H_003E","B27001H_003EA","B27001H_003M","B27001H_003MA","B27001H_004E","B27001H_004EA","B27001H_004M","B27001H_004MA","B27001H_005E","B27001H_005EA","B27001H_005M","B27001H_005MA","B27001H_006E","B27001H_006EA","B27001H_006M","B27001H_006MA","B27001H_007E","B27001H_007EA","B27001H_007M","B27001H_007MA","B27001H_008E","B27001H_008M","B27001H_008MA","B27001H_008EA","B27001H_009E","B27001H_009EA","B27001H_009M","B27001H_009MA","B27001H_010E","B27001H_010EA","B27001H_010M","B27001H_010MA","B27001H_011E","B27001H_011EA","B27001H_011M","B27001H_011MA","B27001H_012E","B27001H_012EA","B27001H_012M","B27001H_012MA","B27001H_013E","B27001H_013EA","B27001H_013M","B27001H_013MA","B27001H_014E","B27001H_014EA","B27001H_014M","B27001H_014MA","B27001H_015E","B27001H_015EA","B27001H_015M","B27001H_015MA","B27001H_016E","B27001H_016EA","B27001H_016M","B27001H_016MA","B27001H_017E","B27001H_017EA","B27001H_017M","B27001H_017MA","B27001H_018E","B27001H_018EA","B27001H_018M","B27001H_018MA","B27001H_019E","B27001H_019M","B27001H_019MA","B27001H_019EA","B27001H_020E","B27001H_020EA","B27001H_020M","B27001H_020MA","B27001H_021E","B27001H_021EA","B27001H_021M","B27001H_021MA","B27001H_022E","B27001H_022EA","B27001H_022M","B27001H_022MA","B27001H_023E","B27001H_023EA","B27001H_023M","B27001H_023MA","B27001H_024E","B27001H_024EA","B27001H_024M","B27001H_024MA","B27001H_025E","B27001H_025EA","B27001H_025M","B27001H_025MA","B27001H_026E","B27001H_026EA","B27001H_026M","B27001H_026MA","B27001H_027E","B27001H_027EA","B27001H_027M","B27001H_027MA","B27001H_028E","B27001H_028EA","B27001H_028M","B27001H_028MA",
"0500000US12087","Monroe County, Florida","46869","null","848","null","1808","null","211","null","1654","null","308","null","154","null","196","null","3800","null","234","null","3130","null","466","null","670","null","379","null","2285","397","null","null","1603","null","488","null","682","null","480","null","4354","null","374","null","2906","null","561","null","1448","null","534","null","4748","null","174","null","3526","null","469","null","1222","null","451","null","6614","null","118","null","4721","null","590","null","1893","579","null","null","9173","null","367","null","7644","null","628","null","1529","null","512","null","8661","null","61","null","8470","null","228","null","191","null","222","null","5426","null","69","null","5426","null","69","null","0","null","234","null",
"0500000US12089","Nassau County, Florida","75781","null","669","null","4362","null","399","null","4284","null","433","null","78","null","117","null","10664","null","672","null","10239","null","749","null","425","null","367","null","3265","887","null","null","2676","null","1051","null","589","null","455","null","8770","null","906","null","7208","null","1082","null","1562","null","799","null","8277","null","191","null","7206","null","509","null","1071","null","500","null","9713","null","125","null","8604","null","587","null","1109","581","null","null","12288","null","97","null","10875","null","553","null","1413","null","545","null","11524","null","76","null","11457","null","143","null","67","null","122","null","6918","null","236","null","6918","null","236","null","0","null","234","null",
"0500000US12091","Okaloosa County, Florida","145292","null","1261","null","10265","null","751","null","9560","null","823","null","705","null","476","null","21310","null","821","null","19704","null","1291","null","1606","null","1213","null","9859","1062","null","null","7453","null","1253","null","2406","null","927","null","18025","null","1164","null","11192","null","1423","null","6833","null","1909","null","16299","null","550","null","13576","null","1115","null","2723","null","850","null","17418","null","127","null","15531","null","673","null","1887","687","null","null","23020","null","55","null","21366","null","614","null","1654","null","604","null","16915","null","135","null","16853","null","168","null","62","null","102","null","12181","null","190","null","12181","null","190","null","0","null","234","null",
"0500000US12095","Orange County, Florida","535765","null","3701","null","28577","null","1048","null","28039","null","1093","null","538","null","438","null","69059","null","2209","null","66241","null","2720","null","2818","null","1401","null","53674","2323","null","null","47599","null","2999","null","6075","null","1756","null","78290","null","1989","null","66402","null","3202","null","11888","null","3195","null","70689","null","1323","null","60572","null","2405","null","10117","null","2125","null","73198","null","778","null","65491","null","1734","null","7707","1577","null","null","75067","null","896","null","67418","null","1829","null","7649","null","1786","null","51987","null","566","null","50329","null","2319","null","1658","null","2067","null","35224","null","342","null","35186","null","347","null","38","null","62","null",
"0500000US12097","Osceola County, Florida","111541","null","1112","null","5717","null","652","null","5620","null","662","null","97","null","152","null","15865","null","494","null","15239","null","596","null","626","null","514","null","9174","1142","null","null","8021","null","1446","null","1153","null","712","null","13634","null","1326","null","12482","null","1518","null","1152","null","774","null","13409","null","495","null","10964","null","1108","null","2445","null","1078","null","15055","null","81","null","12274","null","960","null","2781","948","null","null","16297","null","218","null","14547","null","757","null","1750","null","779","null","13329","null","82","null","13056","null","400","null","273","null","396","null","9061","null","332","null","9061","null","332","null","0","null","234","null",
"0500000US12099","Palm Beach County, Florida","789684","null","2407","null","30626","null","1193","null","28850","null","1545","null","1776","null","903","null","78505","null","1586","null","74253","null","2179","null","4252","null","1349","null","44950","2150","null","null","39698","null","2457","null","5252","null","1485","null","67036","null","1791","null","56251","null","2549","null","10785","null","1768","null","70639","null","509","null","60809","null","1989","null","9830","null","1928","null","92463","null","968","null","81216","null","2541","null","11247","2555","null","null","123554","null","496","null","112849","null","2196","null","10705","null","2097","null","128926","null","551","null","127992","null","647","null","934","null","424","null","152985","null","893","null","152217","null","1149","null","768","null","737","null",
"0500000US12101","Pasco County, Florida","398090","null","1027","null","21743","null","1048","null","20488","null","1311","null","1255","null","784","null","51356","null","1420","null","48927","null","2258","null","2429","null","1886","null","24716","1684","null","null","18938","null","2134","null","5778","null","1172","null","36486","null","1300","null","26661","null","2111","null","9825","null","1923","null","43548","null","326","null","36757","null","1353","null","6791","null","1364","null","51680","null","328","null","40448","null","2167","null","11232","2095","null","null","60314","null","139","null","53030","null","1464","null","7284","null","1471","null","58323","null","269","null","58077","null","289","null","246","null","163","null","49924","null","473","null","49738","null","533","null","186","null","245","null",
"0500000US12103","Pinellas County, Florida","706730","null","1426","null","28233","null","1091","null","27209","null","1254","null","1024","null","682","null","64438","null","1342","null","59824","null","1950","null","4614","null","1435","null","42329","2111","null","null","34626","null","2233","null","7703","null","1698","null","69327","null","2085","null","54209","null","3052","null","15118","null","2583","null","72004","null","352","null","59366","null","2533","null","12638","null","2446","null","91493","null","543","null","76046","null","2376","null","15447","2368","null","null","127515","null","586","null","114031","null","2126","null","13484","null","2148","null","112878","null","456","null","112313","null","674","null","565","null","536","null","98513","null","736","null","98322","null","786","null","191","null","186","null",
"0500000US12105","Polk County, Florida","406261","null","2452","null","22087","null","1132","null","21393","null","1318","null","694","null","525","null","49525","null","1426","null","46219","null","2057","null","3306","null","1755","null","28094","1498","null","null","22399","null","1726","null","5695","null","1458","null","43171","null","1468","null","31001","null","2291","null","12170","null","2244","null","40777","null","1102","null","31864","null","2214","null","8913","null","2162","null","48522","null","451","null","41327","null","2118","null","7195","2094","null","null","58991","null","1097","null","52167","null","1542","null","6824","null","1361","null","62888","null","101","null","62716","null","211","null","172","null","186","null","52206","null","669","null","52158","null","673","null","48","null","78","null",
"0500000US12107","Putnam County, Florida","52571","null","336","null","2822","null","345","null","2731","null","367","null","91","null","118","null","6584","null","541","null","6351","null","570","null","233","null","233","null","3777","670","null","null","3007","null","635","null","770","null","427","null","4364","null","572","null","3487","null","765","null","877","null","582","null","4894","null","168","null","3769","null","558","null","1125","null","518","null","6217","null","234","null","3773","null","784","null","2444","784","null","null","9029","null","81","null","7281","null","637","null","1748","null","630","null","8601","null","94","null","8601","null","94","null","0","null","234","null","6283","null","81","null","6283","null","81","null","0","null","234","null",
