"GEO_ID","NAME","B27001A_001E","B27001A_001M","B27001A_001MA","B27001A_001EA","B27001A_002E","B27001A_002M","B27001A_002MA","B27001A_002EA","B27001A_003E","B27001A_003M","B27001A_003MA","B27001A_003EA","B27001A_004E","B27001A_004M","B27001A_004MA","B27001A_004EA","B27001A_005E","B27001A_005M","B27001A_005MA","B27001A_005EA","B27001A_006E","B27001A_006EA","B27001A_006M","B27001A_006MA","B27001A_007E","B27001A_007M","B27001A_007MA","B27001A_007EA","B27001A_008E","B27001A_008M","B27001A_008MA","B27001A_008EA","B27001A_009E","B27001A_009M","B27001A_009MA","B27001A_009EA","B27001A_010E","B27001A_010M","B27001A_010MA","B27001A_010EA","B27001A_011E","B27001A_011M","B27001A_011MA","B27001A_011EA","B27001A_012E","B27001A_012M","B27001A_012MA","B27001A_012EA","B27001A_013E","B27001A_013M","B27001A_013MA","B27001A_013EA","B27001A_014E","B27001A_014M","B27001A_014MA","B27001A_014EA","B27001A_015E","B27001A_015M","B27001A_015MA","B27001A_015EA","B27001A_016E","B27001A_016M","B27001A_016MA","B27001A_016EA","B27001A_017E","B27001A_017EA","B27001A_017M","B27001A_017MA","B27001A_018E","B27001A_018M","B27001A_018MA","B27001A_018EA","B27001A_019E","B27001A_019M","B27001A_019MA","B27001A_019EA","B27001A_020E","B27001A_020M","B27001A_020MA","B27001A_020EA","B27001A_021E","B27001A_021M","B27001A_021MA","B27001A_021EA","B27001A_022E","B27001A_022M","B27001A_022MA","B27001A_022EA","B27001A_023E","B27001A_023M","B27001A_023MA","B27001A_023EA","B27001A_024E","B27001A_024M","B27001A_024MA","B27001A_024EA","B27001A_025E","B27001A_025M","B27001A_025MA","B27001A_025EA","B27001A_026E","B27001A_026M","B27001A_026MA","B27001A_026EA","B27001A_027E","B27001A_027M","B27001A_027MA","B27001A_027EA","B27001A_028E","B27001A_028EA","B27001A_028M","B27001A_028MA",
"0500000US12101","Pasco County, Florida","470887","3329","null","null","27016","1324","null","null","25416","1561","null","null","1600","957","null","null","66330","1950","null","null","61434","null","2685","null","4896","2587","null","null","31618","2105","null","null","23628","2370","null","null","7990","1476","null","null","46418","1709","null","null","34013","2419","null","null","12405","2312","null","null","56534","813","null","null","46006","2216","null","null","10528","2278","null","null","60392","null","1032","null","46537","2432","null","null","13855","2333","null","null","67098","641","null","null","58387","1804","null","null","8711","1674","null","null","62961","535","null","null","62640","582","null","null","321","178","null","null","52520","646","null","null","52334","680","null","null","186","null","245","null",
"0500000US12103","Pinellas County, Florida","781878","4338","null","null","33985","1482","null","null","32451","1813","null","null","1534","918","null","null","79414","1778","null","null","72543","null","2497","null","6871","2100","null","null","50573","2353","null","null","41227","2374","null","null","9346","1983","null","null","78261","2296","null","null","60505","3267","null","null","17756","2874","null","null","83296","1221","null","null","67378","2974","null","null","15918","3043","null","null","102010","null","1083","null","83546","2945","null","null","18464","2902","null","null","134347","951","null","null","119641","2202","null","null","14706","2253","null","null","117248","858","null","null","116415","1068","null","null","833","644","null","null","102744","909","null","null","102553","952","null","null","191","null","186","null",
"0500000US12105","Polk County, Florida","538554","9514","null","null","34894","1833","null","null","33793","2090","null","null","1101","599","null","null","80298","3657","null","null","74913","null","4373","null","5385","2079","null","null","42902","2685","null","null","32623","2711","null","null","10279","2316","null","null","60174","3210","null","null","44558","3488","null","null","15616","2807","null","null","60768","2798","null","null","46849","3391","null","null","13919","3260","null","null","64645","null","1632","null","53059","3480","null","null","11586","3339","null","null","69172","1618","null","null","60495","1989","null","null","8677","1692","null","null","70142","911","null","null","69970","920","null","null","172","186","null","null","55559","915","null","null","55511","910","null","null","48","null","78","null",
"0500000US12107","Putnam County, Florida","59482","599","null","null","3527","405","null","null","3155","432","null","null","372","298","null","null","8518","570","null","null","8223","null","621","null","295","263","null","null","4513","823","null","null","3144","668","null","null","1369","694","null","null","5380","753","null","null","3930","863","null","null","1450","693","null","null","5826","358","null","null","4150","681","null","null","1676","677","null","null","6794","null","476","null","3818","777","null","null","2976","967","null","null","9400","380","null","null","7493","683","null","null","1907","684","null","null","8835","285","null","null","8835","285","null","null","0","234","null","null","6689","259","null","null","6689","259","null","null","0","null","234","null",
"0500000US12109","St. Johns County, Florida","232107","1806","null","null","13905","1629","null","null","12144","1863","null","null","1761","1378","null","null","36471","1962","null","null","33853","null","2111","null","2618","1035","null","null","16407","1555","null","null","12674","1954","null","null","3733","1305","null","null","17450","1348","null","null","13793","1837","null","null","3657","1346","null","null","30975","1278","null","null","28817","1680","null","null","2158","1127","null","null","32134","null","992","null","29432","1355","null","null","2702","1106","null","null","34038","491","null","null","31111","1422","null","null","2927","1418","null","null","30108","378","null","null","29685","546","null","null","423","415","null","null","20619","805","null","null","20619","805","null","null","0","null","234","null",
"0500000US12111","St. Lucie County, Florida","234449","5148","null","null","12424","1229","null","null","11206","1425","null","null","1218","798","null","null","28270","1787","null","null","22653","null","2514","null","5617","2373","null","null","15668","1843","null","null","10634","1460","null","null","5034","1620","null","null","22190","2079","null","null","15401","2044","null","null","6789","2032","null","null","26333","2120","null","null","20048","2502","null","null","6285","1929","null","null","26889","null","842","null","21575","1453","null","null","5314","1281","null","null","36018","496","null","null","32554","1179","null","null","3464","1073","null","null","36129","1051","null","null","35920","1054","null","null","209","259","null","null","30528","922","null","null","30392","943","null","null","136","null","223","null",
"0500000US12113","Santa Rosa County, Florida","152301","2224","null","null","9849","754","null","null","8809","1099","null","null","1040","588","null","null","24594","1100","null","null","22927","null","1539","null","1667","1174","null","null","10441","1011","null","null","8165","1099","null","null","2276","987","null","null","17223","1076","null","null","13180","1790","null","null","4043","1681","null","null","18231","829","null","null","16706","1200","null","null","1525","821","null","null","21132","null","824","null","19197","1043","null","null","1935","712","null","null","22964","410","null","null","19014","1709","null","null","3950","1670","null","null","17014","447","null","null","16864","519","null","null","150","251","null","null","10853","567","null","null","10853","567","null","null","0","null","234","null",
"0500000US12115","Sarasota County, Florida","389022","2831","null","null","14025","793","null","null","12911","1250","null","null","1114","950","null","null","37980","1432","null","null","35223","null","1781","null","2757","1164","null","null","22128","1517","null","null","16553","2154","null","null","5575","1733","null","null","27301","1298","null","null","18360","1887","null","null","8941","1982","null","null","30114","1161","null","null","23734","1992","null","null","6380","1690","null","null","41489","null","579","null","33408","2345","null","null","8081","2302","null","null","62599","435","null","null","55847","1638","null","null","6752","1643","null","null","77674","208","null","null","77294","514","null","null","380","472","null","null","75712","616","null","null","75618","650","null","null","94","null","164","null",
"0500000US12117","Seminole County, Florida","335281","7025","null","null","19232","1452","null","null","18529","1460","null","null","703","525","null","null","45831","2198","null","null","43375","null","2766","null","2456","1536","null","null","27772","1827","null","null","24363","1749","null","null","3409","1258","null","null","41187","1895","null","null","35459","2215","null","null","5728","1334","null","null","43681","2121","null","null","39838","2636","null","null","3843","1627","null","null","47368","null","1726","null","42512","1971","null","null","4856","1277","null","null","49285","1218","null","null","44981","1520","null","null","4304","1119","null","null","35962","856","null","null","35798","864","null","null","164","198","null","null","24963","630","null","null","24908","631","null","null","55","null","91","null",
"0500000US12119","Sumter County, Florida","113772","1600","null","null","2678","612","null","null","2621","655","null","null","57","96","null","null","5404","899","null","null","4412","null","643","null","992","769","null","null","2790","1322","null","null","1425","810","null","null","1365","864","null","null","3523","1331","null","null","2925","1310","null","null","598","506","null","null","4796","740","null","null","3044","736","null","null","1752","723","null","null","4668","null","1559","null","4331","1058","null","null","337","613","null","null","15607","402","null","null","13816","1008","null","null","1791","924","null","null","41141","435","null","null","41141","435","null","null","0","234","null","null","33165","379","null","null","33165","379","null","null","0","null","234","null",
